
PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS AT CARD $PREND99999
READING FORMAT: (6X,I5,5X,A5,3X,E12.5,4X,F6.2)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
UNDEFINED MASSES OF W+, W- AND Z0 ARE SET EQUAL TO THEIR WEINBERG-SALAM
VALUES DIVIDED BY SQRT(0.9304) (MARCIANO AND SIRLIN).

      IDENT     LABEL           MASS    CHARGE

$PRBEG
      -1151     AUUB*     .55100E+01     -1.00
       1251     UDB*      .55100E+01      0.00
      -1251     AUDB*     .55100E+01      0.00
       2251     DDB*      .55100E+01     -1.00
      -2251     ADDB*     .55100E+01      1.00
       1351     USB*      .57100E+01      0.00
      -1351     AUSB*     .57100E+01      0.00
       2351     DSB*      .57100E+01     -1.00
      -2351     ADSB*     .57100E+01      1.00
       3351     SSB*      .59100E+01     -1.00
      -3351     ASSB*     .59100E+01      1.00
       1451     UCB*      .68100E+01      1.00
      -1451     AUCB*     .68100E+01     -1.00
       2451     DCB*      .68100E+01      0.00
      -2451     ADCB*     .68100E+01      0.00
       3451     SCB*      .70100E+01      0.00
      -3451     ASCB*     .70100E+01      0.00
       4451     CCB*      .81100E+01      1.00
      -4451     ACCB*     .81100E+01     -1.00
       1551     UBB*      .10110E+02      0.00
      -1551     AUBB*     .10110E+02      0.00
       2551     DBB*      .10110E+02     -1.00
      -2551     ADBB*     .10110E+02      1.00
       3551     SBB*      .10310E+02     -1.00
      -3551     ASBB*     .10310E+02      1.00
       4551     CBB*      .11410E+02      0.00
      -4551     ACBB*     .11410E+02      0.00
       5551     BBB*      .14710E+02     -1.00
      -5551     ABBB*     .14710E+02      1.00
       1161     UTT*                      2.00
      -1161     AUTT*                    -2.00
       1261     UDT*                      1.00
      -1261     AUDT*                    -1.00
       2261     DDT*                      0.00
      -2261     ADDT*                     0.00
       1361     UST*                      1.00
      -1361     AUST*                    -1.00
       2361     DST*                      0.00
      -2361     ADST*                     0.00
       3361     SST*                      0.00
      -3361     ASST*                     0.00
       1461     UCT*                      2.00
      -1461     AUCT*                    -2.00
       2461     DCT*                      1.00
      -2461     ADCT*                    -1.00
       3461     SCT*                      1.00
      -3461     ASCT*                    -1.00
       4461     CCT*                      2.00
      -4461     ACCT*                    -2.00
       1561     UBT*                      1.00
      -1561     AUBT*                    -1.00
       2561     DBT*                      0.00
      -2561     ADBT*                     0.00
       3561     SBT*                      0.00
      -3561     ASBT*                     0.00
       4561     CBT*                      1.00
      -4561     ACBT*                    -1.00
       5561     BBT*                      0.00
      -5561     ABBT*                     0.00
       1661     UTT*                      2.00
      -1661     AUTT*                    -2.00
       2661     DTT*                      1.00
      -2661     ADTT*                    -1.00
       3661     STT*                      1.00
      -3661     ASTT*                    -1.00
       4661     CTT*                      2.00
      -4661     CTT*                     -2.00
       5661     BTT*                      1.00
      -5661     ABTT*                    -1.00
       6661     TTT*                      2.00
      -6661     ATTT*                    -2.00
$PREND99999



PARTICLE DECAYS
---------------
DATA CARDS MUST START IMMEDIATELY AFTER $DCBEG CARD
READING STOPS WHEN 1ST ENTRY IN CARD IS 0
LIST DIRECTED FORMAT

DECYNG  DEC.   CUMUL.             DECAY PRODUCTS
 PART.  TYP.     B.R.

$DCBEG
   110,  2,   .98850,    10,    10,     0,     0,     0/
   110,  2,  1.00000,    10,    12,   -12,     0,     0/
   220,  2,   .38000,    10,    10,     0,     0,     0/
   220,  2,   .71000,   110,   110,   110,     0,     0/
   220,  2,   .94600,   120,  -120,   110,     0,     0/
   220,  2,   .99500,   120,  -120,    10,     0,     0/
   220,  2,  1.00000,    10,    12,   -12,     0,     0/
   330,  1,   .44100,   220,   120,  -120,     0,     0/
   330,  1,   .66100,   220,   110,   110,     0,     0/
   330,  1,   .95900,   111,    10,     0,     0,     0/
   330,  1,   .98000,   221,    10,     0,     0,     0/
   330,  1,  1.00000,    10,    10,     0,     0,     0/
   121,  1,  1.00000,   120,   110,     0,     0,     0/
   111,  1,   .99989,   120,  -120,     0,     0,     0/
   111,  1,   .99993,    12,   -12,     0,     0,     0/
   111,  1,  1.00000,    14,   -14,     0,     0,     0/
   221,  1,   .89900,   120,  -120,   110,     0,     0/
   221,  1,   .91200,   120,  -120,     0,     0,     0/
   221,  1,   .99992,   110,    10,     0,     0,     0/
   221,  1,  1.00000,    12,   -12,     0,     0,     0/
   331,  1,   .48600,   130,  -130,     0,     0,     0/
   331,  1,   .83700,    20,   -20,     0,     0,     0/
   331,  1,   .98400,   120,  -120,   110,     0,     0/
   331,  1,   .99944,   220,    10,     0,     0,     0/
   331,  1,   .99975,    12,   -12,     0,     0,     0/
   331,  1,  1.00000,    14,   -14,     0,     0,     0/
   230,  3,   .50000,    20,     0,     0,     0,     0/
   230,  3,  1.00000,   -20,     0,     0,     0,     0/
   131,  1,   .66670,   230,   120,     0,     0,     0/
   131,  1,  1.00000,   130,   110,     0,     0,     0/
   231,  1,   .66670,   130,  -120,     0,     0,     0/
   231,  1,  1.00000,   230,   110,     0,     0,     0/
   240,  3,   .11000,    12,   -11,   230,     0,     0/
   240,  3,   .17000,    12,   -11,   231,     0,     0/
   240,  3,   .28000,    14,   -13,   230,     0,     0/
   240,  3,   .34000,    14,   -13,   231,     0,     0/
   240,  3,   .37800,   230,  -120,     0,     0,     0/
   240,  3,   .56300,   230,  -121,     0,     0,     0/
   240,  3,   .60800,   231,  -120,     0,     0,     0/
   240,  3,   .62100,   230,  -120,   110,     0,     0/
   240,  3,   .71000,   130,  -120,  -120,     0,     0/
   240,  3,   .80100,   230,  -120,  -120,   120,     0/
   240,  3,   .87900,   130,  -120,  -120,   110,     0/
   240,  3,   .95400,   230,  -120,   110,   110,     0/
   240,  3,   .96600,   230,  -130,     0,     0,     0/
   240,  3,   .97600,   331,  -120,     0,     0,     0/
   240,  3,   .98800,  -130,   231,     0,     0,     0/
   240,  3,  1.00000,  -131,   230,     0,     0,     0/
   140,  3,   .04500,    12,   -11,   130,     0,     0/
   140,  3,   .07500,    12,   -11,   131,     0,     0/
   140,  3,   .12000,    14,   -13,   130,     0,     0/
   140,  3,   .15000,    14,   -13,   131,     0,     0/
   140,  3,   .20300,   130,  -120,     0,     0,     0/
   140,  3,   .22700,   230,   110,     0,     0,     0/
   140,  3,   .24700,   230,   220,     0,     0,     0/
   140,  3,   .28900,   230,   221,     0,     0,     0/
   140,  3,   .45100,   130,  -121,     0,     0,     0/
   140,  3,   .53600,   131,  -120,     0,     0,     0/
   140,  3,   .56200,   231,   110,     0,     0,     0/
   140,  3,   .57600,   230,   111,     0,     0,     0/
   140,  3,   .58700,   130,  -120,   110,     0,     0/
   140,  3,   .60300,   230,  -120,   120,     0,     0/
   140,  3,   .72700,   130,  -120,  -120,   120,     0/
   140,  3,   .87600,   230,  -120,   120,   110,     0/
   140,  3,   .96900,   130,  -120,   110,   110,     0/
   140,  3,  1.00000,   230,   110,   110,   110,     0/
   340,  3,   .03250,    12,   -11,   220,     0,     0/
   340,  3,   .06500,    12,   -11,   331,     0,     0/
   340,  3,   .09750,    14,   -13,   220,     0,     0/
   340,  3,   .13000,    14,   -13,   331,     0,     0/
   340,  3,   .17900,  -130,   230,     0,     0,     0/
   340,  3,   .22800,  -120,   220,     0,     0,     0/
   340,  3,   .33800,  -131,   230,     0,     0,     0/
   340,  3,   .44800,  -130,   231,     0,     0,     0/
   340,  3,   .55800,  -120,   331,     0,     0,     0/
   340,  3,   .57500,  -130,   230,   110,     0,     0/
   340,  3,   .59200,  -230,   230,  -120,     0,     0/
   340,  3,   .69400,  -130,   230,  -120,   120,     0/
   340,  3,   .79600,  -130,   230,   110,   110,     0/
   340,  3,   .89800,  -130,   130,  -120,   110,     0/
   340,  3,  1.00000,  -230,   230,  -120,   110,     0/
   241,  1,   .64000,   140,  -120,     0,     0,     0/
   241,  1,   .92000,   240,   110,     0,     0,     0/
   241,  1,  1.00000,   240,    10,     0,     0,     0/
   141,  1,   .55000,   140,   110,     0,     0,     0/
   141,  1,  1.00000,   140,    10,     0,     0,     0/
   341,  1,  1.00000,   340,    10,     0,     0,     0/
   441,  1,   .07400,    12,   -12,     0,     0,     0/
   441,  1,   .14800,    14,   -14,     0,     0,     0/
   441,  1,   .15210,  -121,   120,     0,     0,     0/
   441,  1,   .15620,   111,   110,     0,     0,     0/
   441,  1,   .16020,   121,  -120,     0,     0,     0/
   441,  1,   .16300,  -121,   111,   120,     0,     0/
   441,  1,   .16580,   121,  -121,   110,     0,     0/
   441,  1,   .16860,   121,   111,  -120,     0,     0/
   441,  1,   .28740,   120,  -120,   130,  -130,     0/
   441,  1,   .40620,   110,   110,   130,  -130,     0/
   441,  1,   .52500,   120,  -120,   120,  -120,     0/
   441,  1,   .64380,   120,  -120,   110,   110,     0/
   441,  1,   .76260,   110,   110,   110,   110,     0/
   441,  1,   .88130,   120,  -120,   230,  -230,     0/
   441,  1,  1.00000,   110,   110,   230,   230,     0/
   150,  3,   .06000,   -12,    11,   140,     0,     0/
   150,  3,   .12000,   -12,    11,   141,     0,     0/
   150,  3,   .18000,   -14,    13,   140,     0,     0/
   150,  3,   .24000,   -14,    13,   141,     0,     0/
   150,  3,   .25500,   -16,    15,   140,     0,     0/
   150,  3,   .27000,   -16,    15,   141,     0,     0/
   150,  3,   .28050,   140,   120,     0,     0,     0/
   150,  3,   .29100,   140,   121,     0,     0,     0/
   150,  3,   .30150,   141,   120,     0,     0,     0/
   150,  3,   .31200,   141,   121,     0,     0,     0/
   150,  3,   .32650,   140,  -340,     0,     0,     0/
   150,  3,   .34100,   140,  -341,     0,     0,     0/
   150,  3,   .35550,   141,  -340,     0,     0,     0/
   150,  3,   .37000,   141,  -341,     0,     0,     0/
   150,  3,   .39800,   140,   120,   110,     0,     0/
   150,  3,   .42600,   140,   120,   220,     0,     0/
   150,  3,   .45400,   140,   120,   111,     0,     0/
   150,  3,   .48200,   140,   120,   221,     0,     0/
   150,  3,   .51000,   140,   121,   110,     0,     0/
   150,  3,   .53800,   140,   121,   220,     0,     0/
   150,  3,   .56600,   140,   121,   111,     0,     0/
   150,  3,   .59400,   140,   121,   221,     0,     0/
   150,  3,   .62200,   141,   120,   110,     0,     0/
   150,  3,   .65000,   141,   120,   220,     0,     0/
   150,  3,   .67800,   141,   120,   111,     0,     0/
   150,  3,   .70600,   141,   120,   221,     0,     0/
   150,  3,   .73400,   141,   121,   110,     0,     0/
   150,  3,   .76200,   141,   121,   220,     0,     0/
   150,  3,   .79000,   141,   121,   111,     0,     0/
   150,  3,   .81800,   141,   121,   221,     0,     0/
   150,  3,   .83200,   140,   130,  -230,     0,     0/
   150,  3,   .84600,   140,   130,  -231,     0,     0/
   150,  3,   .86000,   140,   131,  -230,     0,     0/
   150,  3,   .87400,   140,   131,  -231,     0,     0/
   150,  3,   .88800,   141,   130,  -230,     0,     0/
   150,  3,   .90200,   141,   130,  -231,     0,     0/
   150,  3,   .91600,   141,   131,  -230,     0,     0/
   150,  3,   .93000,   141,   131,  -231,     0,     0/
   150,  3,   .93300,   140,  -140,   130,     0,     0/
   150,  3,   .93600,   140,  -140,   131,     0,     0/
   150,  3,   .93900,   140,  -141,   130,     0,     0/
   150,  3,   .94200,   140,  -141,   131,     0,     0/
   150,  3,   .94500,   141,  -140,   130,     0,     0/
   150,  3,   .94800,   141,  -140,   131,     0,     0/
   150,  3,   .95100,   141,  -141,   130,     0,     0/
   150,  3,   .95400,   141,  -141,   131,     0,     0/
   150,  3,   .95700,   140,  -240,   230,     0,     0/
   150,  3,   .96000,   140,  -240,   231,     0,     0/
   150,  3,   .96300,   140,  -241,   230,     0,     0/
   150,  3,   .96600,   140,  -241,   231,     0,     0/
   150,  3,   .96900,   141,  -240,   230,     0,     0/
   150,  3,   .97200,   141,  -240,   231,     0,     0/
   150,  3,   .97500,   141,  -241,   230,     0,     0/
   150,  3,   .97800,   141,  -241,   231,     0,     0/
   150,  3,   .97950,   140,  -340,   330,     0,     0/
   150,  3,   .98100,   140,  -340,   331,     0,     0/
   150,  3,   .98250,   140,  -341,   331,     0,     0/
   150,  3,   .98400,   140,  -341,   331,     0,     0/
   150,  3,   .98550,   141,  -340,   330,     0,     0/
   150,  3,   .98700,   141,  -340,   331,     0,     0/
   150,  3,   .98850,   141,  -341,   331,     0,     0/
   150,  3,   .99000,   141,  -341,   331,     0,     0/
   150,  3,   .99200,   441,   130,   110,     0,     0/
   150,  3,   .99400,   441,   131,   110,     0,     0/
   150,  3,   .99600,   441,   230,   120,     0,     0/
   150,  3,   .99800,   441,   231,   120,     0,     0/
   150,  3,   .99900,   441,   330,   130,     0,     0/
   150,  3,  1.00000,   441,   331,   130,     0,     0/
   250,  3,   .06000,   -12,    11,   240,     0,     0/
   250,  3,   .12000,   -12,    11,   241,     0,     0/
   250,  3,   .18000,   -14,    13,   240,     0,     0/
